model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
NousResearch/Llama-2-7b-hf,235907,text-generation,6738417664.0,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'en', 'autotrain_compatible', 'text-generation-inference', 'region:us']",,,,,,['en']
sentence-transformers/paraphrase-distilroberta-base-v1,235547,sentence-similarity,82118914.0,"['sentence-transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'openvino', 'roberta', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Wan-AI/Wan2.1-T2V-14B,235401,text-to-video,,"['diffusers', 'safetensors', 't2v', 'video generation', 'text-to-video', 'en', 'zh', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,"['en', 'zh']"
shahrukhx01/paraphrase-mpnet-base-v2-fuzzy-matcher,235332,feature-extraction,109486978.0,"['transformers', 'pytorch', 'safetensors', 'mpnet', 'feature-extraction', 'fuzzy-matching', 'fuzzy-search', 'entity-resolution', 'record-linking', 'structured-data-search', 'endpoints_compatible', 'region:us']",,,,,,
HuggingFaceTB/SmolLM2-135M-Instruct,233808,text-generation,134515008.0,"['transformers', 'tensorboard', 'onnx', 'safetensors', 'llama', 'text-generation', 'transformers.js', 'conversational', 'en', 'arxiv:2502.02737', 'base_model:HuggingFaceTB/SmolLM2-135M', 'base_model:quantized:HuggingFaceTB/SmolLM2-135M', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,['HuggingFaceTB/SmolLM2-135M'],['en']
deepseek-ai/Janus-Pro-7B,233753,any-to-any,,"['transformers', 'pytorch', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2501.17811', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
jinaai/jina-embeddings-v2-base-en,233314,feature-extraction,137368320.0,"['sentence-transformers', 'pytorch', 'coreml', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'mteb', 'custom_code', 'en', 'dataset:allenai/c4', 'arxiv:2108.12409', 'arxiv:2310.19923', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'region:us']",apache-2.0,['allenai/c4'],jina-embedding-b-en-v2,,,en
microsoft/wavlm-large,232681,feature-extraction,,"['transformers', 'pytorch', 'wavlm', 'feature-extraction', 'speech', 'en', 'arxiv:1912.07875', 'arxiv:2106.06909', 'arxiv:2101.00390', 'arxiv:2110.13900', 'region:us']",,,,,,['en']
Qwen/Qwen2.5-72B-Instruct,232408,text-generation,72706203648.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-72B', 'base_model:finetune:Qwen/Qwen2.5-72B', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",other,,,,Qwen/Qwen2.5-72B,['en']
Helsinki-NLP/opus-mt-pl-en,232000,translation,,"['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'pl', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Yehor/w2v-xls-r-uk,231877,automatic-speech-recognition,315479720.0,"['transformers', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'uk', 'dataset:mozilla-foundation/common_voice_10_0', 'base_model:facebook/wav2vec2-xls-r-300m', 'base_model:finetune:facebook/wav2vec2-xls-r-300m', 'doi:10.57967/hf/4556', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['mozilla-foundation/common_voice_10_0'],w2v-xls-r-uk,['wer'],facebook/wav2vec2-xls-r-300m,['uk']
unslothai/lambda,231238,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
google/efficientnet-b2,230956,image-classification,,"['transformers', 'pytorch', 'efficientnet', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:1905.11946', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['imagenet-1k'],,,,
deepset/bert-large-uncased-whole-word-masking-squad2,230351,question-answering,335143938.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'question-answering', 'en', 'dataset:squad_v2', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us']",cc-by-4.0,['squad_v2'],deepset/bert-large-uncased-whole-word-masking-squad2,,,en
snunlp/KR-SBERT-V40K-klueNLI-augSTS,230341,sentence-similarity,,"['sentence-transformers', 'pytorch', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'ko', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",,,,,,['ko']
laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,227690,zero-shot-image-classification,,"['open_clip', 'pytorch', 'clip', 'zero-shot-image-classification', 'dataset:mlfoundations/datacomp_pools', 'arxiv:2304.14108', 'license:mit', 'region:us']",mit,['mlfoundations/datacomp_pools'],,,,
stabilityai/sd-vae-ft-mse,227659,,,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'license:mit', 'region:us']",mit,,,,,
sentence-transformers/sentence-t5-xl,227573,sentence-similarity,1240909824.0,"['sentence-transformers', 'pytorch', 'safetensors', 't5', 'feature-extraction', 'sentence-similarity', 'en', 'arxiv:2108.08877', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,227468,text-generation,4735493609.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'llama-3', 'meta', 'facebook', 'unsloth', 'conversational', 'en', 'base_model:meta-llama/Llama-3.1-8B-Instruct', 'base_model:quantized:meta-llama/Llama-3.1-8B-Instruct', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'bitsandbytes', 'region:us']",llama3.1,,,,meta-llama/Llama-3.1-8B-Instruct,['en']
openai/whisper-large-v2,227276,automatic-speech-recognition,1543304960.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
Systran/faster-whisper-medium,227102,automatic-speech-recognition,,"['ctranslate2', 'audio', 'automatic-speech-recognition', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'license:mit', 'region:us']",mit,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
AutonLab/MOMENT-1-large,226534,time-series-forecasting,346368520.0,"['transformers', 'pytorch', 'safetensors', 'time series', 'forecasting', 'classification', 'anomaly detection', 'imputation', 'pretrained models', 'foundation models', 'time-series', 'time-series-forecasting', 'dataset:AutonLab/Timeseries-PILE', 'arxiv:2402.03885', 'license:mit', 'endpoints_compatible', 'region:us']",mit,['AutonLab/Timeseries-PILE'],,"['accuracy', 'mse', 'mae', 'f1']",,
laion/CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup,226104,zero-shot-image-classification,,"['open_clip', 'tensorboard', 'safetensors', 'zero-shot-image-classification', 'clip', 'arxiv:2201.03545', 'arxiv:2210.08402', 'arxiv:1910.04867', 'license:mit', 'region:us']",mit,,,,,
facebook/encodec_32khz,226085,feature-extraction,58990022.0,"['transformers', 'pytorch', 'safetensors', 'encodec', 'feature-extraction', 'arxiv:2306.05284', 'region:us']",,,,,,
meta-llama/Llama-2-13b-chat-hf,225633,text-generation,13015866880.0,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'conversational', 'en', 'arxiv:2307.09288', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama2,,,,,['en']
Salesforce/blip2-opt-6.7b-coco,224961,image-text-to-text,7753460736.0,"['transformers', 'pytorch', 'safetensors', 'blip-2', 'visual-question-answering', 'vision', 'image-to-text', 'image-captioning', 'image-text-to-text', 'en', 'arxiv:2301.12597', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
fxmarty/pix2struct-tiny-random,224869,image-to-text,,"['transformers', 'pytorch', 'pix2struct', 'image-text-to-text', 'image-to-text', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
timm/vit_large_patch14_clip_224.openai,224588,,,"['timm', 'pytorch', 'open_clip', 'safetensors', 'vision', 'transformers', 'arxiv:2103.00020', 'arxiv:1908.04913', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
facebook/mms-tts-yor,223925,text-to-speech,36285552.0,"['transformers', 'pytorch', 'safetensors', 'vits', 'text-to-audio', 'mms', 'text-to-speech', 'arxiv:2305.13516', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,,,,,
mlx-community/Qwen2.5-1.5B-Instruct-4bit,222919,text-generation,241327616.0,"['mlx', 'safetensors', 'qwen2', 'chat', 'text-generation', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:finetune:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-1.5B,['en']
EleutherAI/pythia-70m-deduped,222760,text-generation,95592496.0,"['transformers', 'pytorch', 'safetensors', 'gpt_neox', 'text-generation', 'causal-lm', 'pythia', 'en', 'dataset:EleutherAI/the_pile_deduplicated', 'arxiv:2304.01373', 'arxiv:2101.00027', 'arxiv:2201.07311', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['EleutherAI/the_pile_deduplicated'],,,,['en']
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,222588,audio-classification,315701634.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'audio-classification', 'generated_from_trainer', 'dataset:librispeech_asr', 'base_model:facebook/wav2vec2-xls-r-300m', 'base_model:finetune:facebook/wav2vec2-xls-r-300m', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['librispeech_asr'],weights,['f1'],facebook/wav2vec2-xls-r-300m,
crynux-ai/stable-diffusion-v1-5,222562,text-to-image,,"['diffusers', 'safetensors', 'arxiv:1910.09700', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",,,,,,
Salesforce/instructblip-vicuna-7b,222215,image-text-to-text,7913726720.0,"['transformers', 'pytorch', 'safetensors', 'instructblip', 'image-text-to-text', 'vision', 'image-captioning', 'en', 'arxiv:2305.06500', 'license:other', 'endpoints_compatible', 'region:us']",other,,,,,en
openart-custom/AlbedoBase,221664,text-to-image,,"['diffusers', 'safetensors', 'arxiv:1910.09700', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",,,,,,
valhalla/distilbart-mnli-12-1,221309,zero-shot-classification,,"['transformers', 'pytorch', 'jax', 'bart', 'text-classification', 'distilbart', 'distilbart-mnli', 'zero-shot-classification', 'dataset:mnli', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,['mnli'],,,,
facebook/contriever-msmarco,221304,feature-extraction,,"['transformers', 'pytorch', 'bert', 'feature-extraction', 'arxiv:2112.09118', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",,,,,,
Rostlab/prot_bert,221295,fill-mask,,"['transformers', 'pytorch', 'fill-mask', 'protein language model', 'protein', 'dataset:Uniref100', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,['Uniref100'],,,,
apple/MobileCLIP-S2-OpenCLIP,220696,zero-shot-image-classification,,"['open_clip', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:2311.17049', 'arxiv:2103.00020', 'arxiv:2303.15343', 'arxiv:2309.17425', 'license:apple-amlr', 'region:us']",apple-amlr,,,,,
google/bert_uncased_L-4_H-256_A-4,219423,,,"['transformers', 'pytorch', 'jax', 'bert', 'arxiv:1908.08962', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
BAAI/bge-large-zh-v1.5,219301,feature-extraction,,"['sentence-transformers', 'pytorch', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'zh', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,,,,['zh']
nielsr/lilt-xlm-roberta-base,218147,feature-extraction,284153538.0,"['transformers', 'pytorch', 'safetensors', 'lilt', 'feature-extraction', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,"['multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh']"
Lykon/AAM_XL_AnimeMix,217959,text-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'stable-diffusion-xl', 'text-to-image', 'art', 'artistic', 'anime', 'en', 'license:other', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",other,,,,,['en']
bigscience/bloomz-560m,217623,text-generation,559214592.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'bloom', 'text-generation', 'ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zu', 'dataset:bigscience/xP3', 'arxiv:2211.01786', 'license:bigscience-bloom-rail-1.0', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",bigscience-bloom-rail-1.0,['bigscience/xP3'],bloomz-560m,,,"['ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zu']"
unsloth/Llama-3.2-1B-Instruct,217357,text-generation,1235814400.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'llama-3', 'meta', 'facebook', 'unsloth', 'conversational', 'en', 'base_model:meta-llama/Llama-3.2-1B-Instruct', 'base_model:finetune:meta-llama/Llama-3.2-1B-Instruct', 'license:llama3.2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.2,,,,meta-llama/Llama-3.2-1B-Instruct,['en']
google/vit-large-patch32-384,216246,image-classification,,"['transformers', 'pytorch', 'tf', 'jax', 'vit', 'image-classification', 'vision', 'dataset:imagenet', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['imagenet', 'imagenet-21k']",,,,
jitesh/emotion-english,214363,text-classification,82134294.0,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'emotion', '20 classes', 'code', 'emotions', 'en', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,['en']
intfloat/e5-small-v2,214248,sentence-similarity,33360512.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'en', 'arxiv:2212.03533', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,e5-small-v2,,,['en']
dmis-lab/biobert-base-cased-v1.2,214061,fill-mask,,"['transformers', 'pytorch', 'bert', 'fill-mask', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,
LiheYoung/depth-anything-small-hf,213802,depth-estimation,24785089.0,"['transformers', 'safetensors', 'depth_anything', 'depth-estimation', 'vision', 'arxiv:2401.10891', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
XLabs-AI/flux-RealismLora,212707,text-to-image,,"['diffusers', 'lora', 'Stable Diffusion', 'image-generation', 'Flux', 'text-to-image', 'en', 'base_model:black-forest-labs/FLUX.1-dev', 'base_model:adapter:black-forest-labs/FLUX.1-dev', 'license:other', 'region:us']",other,,,,black-forest-labs/FLUX.1-dev,['en']
sentence-transformers/nli-mpnet-base-v2,212360,sentence-similarity,109486978.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'mpnet', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
ckiplab/bert-base-chinese-ws,212155,token-classification,,"['transformers', 'pytorch', 'jax', 'bert', 'token-classification', 'zh', 'license:gpl-3.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",gpl-3.0,,,,,['zh']
allenai/OLMo-2-0325-32B,211583,text-generation,32234279936.0,"['transformers', 'safetensors', 'olmo2', 'text-generation', 'en', 'arxiv:2501.00656', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
xiuyul/mamba-2.8b-zephyr,211512,,2768345600.0,"['transformers', 'pytorch', 'safetensors', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'arxiv:2305.18290', 'base_model:xiuyul/mamba-2.8b-ultrachat', 'base_model:finetune:xiuyul/mamba-2.8b-ultrachat', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['HuggingFaceH4/ultrafeedback_binarized'],mamba-2.8b-zephyr,,xiuyul/mamba-2.8b-ultrachat,
Qwen/Qwen2.5-Coder-7B-Instruct,210976,text-generation,7615616512.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'codeqwen', 'chat', 'qwen', 'qwen-coder', 'conversational', 'en', 'arxiv:2409.12186', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-Coder-7B', 'base_model:finetune:Qwen/Qwen2.5-Coder-7B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,['Qwen/Qwen2.5-Coder-7B'],['en']
deepseek-ai/DeepSeek-Coder-V2-Lite-Base,210357,text-generation,15706484224.0,"['transformers', 'safetensors', 'deepseek_v2', 'text-generation', 'conversational', 'custom_code', 'arxiv:2401.06066', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",other,,,,,
Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,210324,text-generation,5736961024.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-32B-Instruct', 'base_model:quantized:Qwen/Qwen2.5-32B-Instruct', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'gptq', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-32B-Instruct,['en']
flair/ner-english,209430,token-classification,,"['flair', 'pytorch', 'token-classification', 'sequence-tagger-model', 'en', 'dataset:conll2003', 'region:us']",,['conll2003'],,,,en
nvidia/NV-Embed-v2,209132,feature-extraction,7851016192.0,"['transformers', 'safetensors', 'nvembed', 'feature-extraction', 'mteb', 'sentence-transformers', 'custom_code', 'en', 'arxiv:2405.17428', 'arxiv:2407.15831', 'license:cc-by-nc-4.0', 'model-index', 'region:us']",cc-by-nc-4.0,,NV-Embed-v2,,,['en']
stabilityai/stable-diffusion-2-inpainting,208851,image-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'arxiv:2112.10752', 'arxiv:2202.00512', 'arxiv:1910.09700', 'license:openrail++', 'diffusers:StableDiffusionInpaintPipeline', 'region:us']",openrail++,,,,,
microsoft/xclip-base-patch32,207415,video-classification,196585855.0,"['transformers', 'pytorch', 'safetensors', 'xclip', 'vision', 'video-classification', 'en', 'arxiv:2208.02816', 'license:mit', 'model-index', 'endpoints_compatible', 'region:us']",mit,,nielsr/xclip-base-patch32,,,en
vikp/texify,207003,image-text-to-text,312458252.0,"['transformers', 'safetensors', 'vision-encoder-decoder', 'image-text-to-text', 'license:cc-by-sa-4.0', 'endpoints_compatible', 'region:us']",cc-by-sa-4.0,,,,,
facebook/metaclip-b16-fullcc2.5b,206859,zero-shot-image-classification,,"['transformers', 'pytorch', 'clip', 'zero-shot-image-classification', 'vision', 'metaclip', 'arxiv:2309.16671', 'arxiv:2103.00020', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,,,,,
Qwen/Qwen2.5-1.5B,206770,text-generation,1543714304.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'arxiv:2407.10671', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
mistralai/Mistral-Small-24B-Instruct-2501,206452,text-generation,23572403200.0,"['vllm', 'safetensors', 'mistral', 'text-generation', 'transformers', 'conversational', 'en', 'fr', 'de', 'es', 'it', 'pt', 'zh', 'ja', 'ru', 'ko', 'base_model:mistralai/Mistral-Small-24B-Base-2501', 'base_model:finetune:mistralai/Mistral-Small-24B-Base-2501', 'license:apache-2.0', 'text-generation-inference', 'region:us']",apache-2.0,,,,['mistralai/Mistral-Small-24B-Base-2501'],"['en', 'fr', 'de', 'es', 'it', 'pt', 'zh', 'ja', 'ru', 'ko']"
